mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.020319700241089,0.24020237384128065,0.3551516056060791,0.03516513851668224,0.9,50000,5,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.4933732164429929,-0.4959537493074956,-0.539121136388054,-0.5292604174954362,-0.5249454862320592,-0.5165308011732076,0.018454604279101807,13,-9.783906032995163e-06,-7.86799643237483e-06,-9.697548395666089e-06,-6.989140705944796e-06,-1.010929225018023e-05,-8.88957676343222e-06,1.232528494673146e-06
1.8002394676208495,0.17295020608808614,0.2959438323974609,0.024995148102179756,0.85,50000,5,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.49671731607697445,-0.4995074586145971,-0.5415897118816344,-0.5303379941750157,-0.5200197604976933,-0.517634448249183,0.01736109801155969,15,-8.593987237193773e-06,-6.997299031112691e-06,-8.72881054063831e-06,-9.955864639958373e-06,-6.7517363947398525e-06,-8.205539568728602e-06,1.1884217114806518e-06
1.855492639541626,0.2901138131173857,0.3613313674926758,0.07969769547876727,0.85,20000,5,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.49671731607697445,-0.4995074586145971,-0.5415897118816344,-0.5303379941750157,-0.5200197604976933,-0.517634448249183,0.01736109801155969,15,-8.593987237193773e-06,-6.997299031112691e-06,-8.72881054063831e-06,-9.955864639958373e-06,-6.7517363947398525e-06,-8.205539568728602e-06,1.1884217114806518e-06
2.1811593055725096,0.3708624778291318,0.36453952789306643,0.07062923826673363,0.9,50000,1,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.5025675903985021,-0.5004330963403493,-0.542081405172371,-0.5287335607700788,-0.5145158771772488,-0.51766630597171,0.015833263248605213,17,-6.078855126581808e-06,-6.538924458469588e-06,-7.217732901549573e-06,-5.809875557140263e-06,-6.817910313551233e-06,-6.492659671458493e-06,5.041999499840443e-07
1.9859022617340087,0.302804646437686,0.3572862148284912,0.06819890762075713,0.85,50000,1,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.5056312017460218,-0.5025707821674711,-0.5452736979687446,-0.5313216346241721,-0.5107549665293325,-0.5191104566071484,0.016484498316483766,18,-5.533641497882798e-06,-6.5528304478622094e-06,-7.490183499703495e-06,-5.882647934078328e-06,-6.468555726432589e-06,-6.385571821191884e-06,6.68393065348798e-07
1.9549837112426758,0.22444828693470856,0.34763140678405763,0.07368566898798452,0.95,10000,5,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.49815425717114986,-0.49714704406888227,-0.5512767176133467,-0.533065628818923,-0.5361309174878673,-0.5231549130320339,0.0217203909423135,19,-1.0003081428258607e-05,-1.0559361263436606e-05,-8.57133519886324e-06,-9.773654499097103e-06,-9.422965506936016e-06,-9.666079579318316e-06,6.604035868261267e-07
2.4864679336547852,0.5245534695483501,0.40663509368896483,0.1081178320045317,0.95,10000,3,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.4986929017948843,-0.5011642381220663,-0.5505568483986548,-0.5342147984291984,-0.531531541005917,-0.5232320655501442,0.020126127482726432,20,-1.086121874603505e-05,-1.0867570504134336e-05,-8.833999397479614e-06,-9.69133415387521e-06,-9.743114544719633e-06,-9.999447469248768e-06,7.76556105956469e-07
2.06819543838501,0.5069637739502617,0.45720510482788085,0.21166182441125864,0.95,10000,1,"(1, 2)","{'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.49786356697299433,-0.49843628604711493,-0.5532288735671049,-0.5358228767370269,-0.533181562662495,-0.5237066331973471,0.02197541735349592,21,-8.766070955248369e-06,-1.0587058731256443e-05,-9.433444510664057e-06,-9.728154330227924e-06,-8.524208883791083e-06,-9.407787482237576e-06,7.330054733499914e-07
1.9100906372070312,0.20732729630414526,0.31933279037475587,0.056687664853329156,0.9,10000,1,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.5001555516546664,-0.5010231255341705,-0.5533412845434843,-0.5360912378098581,-0.5320604785644153,-0.5245343356213189,0.020818968415626984,22,-1.0097397073081003e-05,-8.7571572182869e-06,-9.043879631645605e-06,-9.48043842215301e-06,-9.3332998795652e-06,-9.342434444946343e-06,4.5183658915160044e-07
1.9455034732818604,0.25507480736617766,0.3041067600250244,0.06235471675390308,0.85,10000,3,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.5023577670222915,-0.5034715309356519,-0.554695840570183,-0.5382558573463462,-0.5273050280605027,-0.5252172047869952,0.020192987200461768,23,-9.76607768793677e-06,-1.1157282112859022e-05,-1.0861329895199638e-05,-1.055615463135509e-05,-8.46589164469307e-06,-1.0161347194408717e-05,9.66285936901857e-07
1.9561939716339112,0.1670034831199767,0.28749785423278806,0.04358893437242862,0.85,10000,1,"(1, 2)","{'tfidf__max_df': 0.85, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.5035021350255102,-0.5040983651790069,-0.5561330865607047,-0.5376511427002992,-0.526233075829991,-0.5255235610591025,0.02014203029568112,24,-1.0145008510818678e-05,-9.406447578807913e-06,-1.0803558380515052e-05,-8.891289159706889e-06,-1.0948657109622633e-05,-1.0038992147894234e-05,7.9254351512618e-07
2.12190260887146,0.3218944960136006,0.36618595123291015,0.04340690484186362,0.9,10000,5,"(1, 2)","{'tfidf__max_df': 0.9, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.5007301369934738,-0.50366921089167,-0.5538664163332107,-0.5354094383640228,-0.5343471678267269,-0.5256044740818208,0.020352876038139026,25,-1.0965060739819005e-05,-9.12352389138491e-06,-8.263513164474534e-06,-9.199237982538056e-06,-9.812736614787245e-06,-9.472814478600751e-06,8.946064659561065e-07
