mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ord__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.883757543563843,1.4232988563729958,0.366774320602417,0.10968274302019165,0.01,0.95,10000,3,"(1, 2)","{'ord__alpha': 0.01, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",-0.23631123919308358,-0.21902017291066284,-0.22478386167146974,-0.2398843930635838,-0.26011560693641617,-0.2360230547550432,0.01421873065079521,38,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.98979001045227,1.6422474899801358,0.43634929656982424,0.14036229624100144,0.1,0.9,20000,1,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__max_features': 20000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.23919308357348704,-0.21613832853025935,-0.21902017291066284,-0.2543352601156069,-0.2514450867052023,-0.2360263863670437,0.01592309825316245,40,-0.0021645021645021645,-0.0036075036075036075,-0.002886002886002886,-0.004325883201153569,-0.005046863734679163,-0.0036061511187682775,0.0010188850892791522
7.364860105514526,0.9654924247038342,0.3183414459228516,0.01183006027657087,0.001,0.85,50000,5,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.85, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2334293948126801,-0.21037463976945245,-0.23054755043227665,-0.25722543352601157,-0.24855491329479767,-0.2360263863670437,0.016131569664903447,40,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
6.6219371318817135,1.5319722809540643,0.3259079933166504,0.04689466054898482,0.001,0.85,20000,5,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.85, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2334293948126801,-0.21037463976945245,-0.23054755043227665,-0.25722543352601157,-0.24855491329479767,-0.2360263863670437,0.016131569664903447,40,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4.021334981918335,1.7318745145070025,0.4526677131652832,0.20928930833614243,0.0,0.95,10000,1,"(1, 2)","{'ord__alpha': 0.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.21902017291066284,-0.20461095100864554,-0.24855491329479767,-0.2630057803468208,-0.23602971797904418,0.02116952668059936,43,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.1634822845458985,0.5866013753703039,0.3734121799468994,0.18148153807677733,0.1,0.95,10000,1,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 10000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",-0.24495677233429394,-0.21613832853025935,-0.21902017291066284,-0.25722543352601157,-0.24566473988439305,-0.23660108943712413,0.016156385579993278,44,-0.002886002886002886,-0.007936507936507936,-0.006493506493506494,-0.007209805335255948,-0.007209805335255948,-0.006347125597305841,0.0017897131988213351
6.870081806182862,0.8998340125520622,0.36517605781555174,0.1073178097602417,0.001,0.95,50000,5,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2276657060518732,-0.21613832853025935,-0.2276657060518732,-0.26011560693641617,-0.2514450867052023,-0.23660608685512483,0.016441918377504743,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
7.013077306747436,1.40105606492423,0.42879066467285154,0.14174886609284257,0.001,0.95,20000,5,"(1, 2)","{'ord__alpha': 0.001, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2276657060518732,-0.21613832853025935,-0.2276657060518732,-0.26011560693641617,-0.2514450867052023,-0.23660608685512483,0.016441918377504743,45,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
3.6106142520904543,0.9148337956563842,0.31561732292175293,0.038511555171468176,0.1,0.95,50000,5,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 50000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2420749279538905,-0.2132564841498559,-0.21613832853025935,-0.25722543352601157,-0.2543352601156069,-0.23660608685512488,0.018620001836395998,47,-0.002886002886002886,-0.005772005772005772,-0.0036075036075036075,-0.003604902667627974,-0.006488824801730353,-0.004471847946974118,0.0013980125760933285
3.473119688034058,0.23928668196745725,0.3669546127319336,0.10971707707891311,0.1,0.95,20000,5,"(1, 2)","{'ord__alpha': 0.1, 'tfidf__max_df': 0.95, 'tfidf__max_features': 20000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",-0.2420749279538905,-0.2132564841498559,-0.21613832853025935,-0.25722543352601157,-0.2543352601156069,-0.23660608685512488,0.018620001836395998,47,-0.002886002886002886,-0.005772005772005772,-0.0036075036075036075,-0.003604902667627974,-0.006488824801730353,-0.004471847946974118,0.0013980125760933285
